贴文ID,作者名字,认证状态,粉丝数,转评赞数,微博内容,话题名称,视频标题
MosdNjnLN,马上谈,True,477365,23984241,福耀集团董事长#曹德旺捐100亿元建世界一流名校#，他表示：“要找名师当校长，请名师教学生，打造世界一流的名校，培养社会需求的转型人才！”曹德旺看待问题的角度有时候真的充满了生命哲学，比如#曹德旺# 曾告诫给大学生：不要都争着去考公务员！有这个精力不如好好创业和钻研，一样能成才！  ,曹德旺捐100亿元建世界一流名校/曹德旺,马上谈的微博视频
NFEgW289q,电商行业,True,2904412,8877031,曹德旺捐款120亿元称孩子也心疼，但他们依然支持，孩子的钱已经够花了，我现在不捐以后也会让他们捐。 http://t.cn/A6YyaoP1 ,,电商行业的微博视频
NlzT88tLN,史小煮,True,1105302,9315383,曹德旺早期谈许家印，大部分说中了 http://t.cn/A6O3mLez ,,史小煮的微博视频
O5pW75eUH,麒炜投资,True,288069,3139800,曹得旺:公司所有财产是登记到老婆名下的！不爬到棺材旁边，不会交给儿子。#曹德旺##福耀玻璃# http://t.cn/A6TPXkny ,曹德旺/福耀玻璃,麒炜投资的微博视频
MxgYx6y0U,随笔视频,True,930804,21055510,曹德旺：民营企业应被重视，民营企业家应被尊重。 http://t.cn/A6ClJMcP ,,随笔观澜的微博视频
O2m7BEMua,林哥观察,True,4098098,24206816,宗庆后值得被人们怀念的原因: 1、有钱后没离婚，没在找女人，凭这一点，是条汉子[赞] 2、全家人不移民，富甲一方也绝不移民，这个跟曹德旺一样值得我们尊敬。  3、不辞退45岁以上的员工。就冲着不开除45岁员工这一条就值得尊敬。 4、娃哈哈集团不上市圈钱，一心一意干饮品主业。不搞房地产开发。 ,宗庆后逝世,林哥观察的微博视频
Mva13cg0J,微公益,True,17646592,15831371,《中国慈善家》2022年度致敬——福耀集团董事局主席曹德旺 在@中国慈善家杂志 的颁奖词中这样写道： 他是中国企业家精神的一面旗帜，数十年心无旁骛坚守实业初心，同时关心社稷，悲悯苍生。于他而言，慈善是一种信仰，也是一种修行；是一种操守，也是一份情怀。 他骨子里传承了中华慈善传统当中积德行 ,曹德旺走进大学施工工地,中国慈善家杂志的微博视频
MCdbsukes,荐见,True,1492144,14297570,曹德旺数次痛批高杠杆的中国式金融。曹德旺说，“许家印自己身家39亿，贷款可以做到2万亿，占总GDP的百分之二，这还只是许家一家，还有李家刘家王家王八家……这是学美国，学的标点符号没看好” http://t.cn/A6NcMe8C ,,荐见的微博视频
NiFU39vsv,匈牙利投资人瞿磊,True,194941,1416897,曹德旺、柳传志和任正非三位大佬的自我评价!  网友：两个人是靠打拼出来的。一个是空手套白狼来的。 http://t.cn/A6O6Shjj ,,匈牙利投资人瞿磊的微博视频
O6VXgp6gW,紫鹊界罗阿哥带你看世界,True,150644,845673,福州本地市民听到王树国校长入住福州欢欣鼓舞。200亿的资金是不够办一个世界一流的科技大学的，我们希望在曹德旺，王树国带领之下，其他的富豪们也可以每个人捐50-100亿，比照国外的大学，成立基金，共襄盛举。德旺人旺，树国树人，众望所归，福耀中华。将来福耀科技大学这所大学将引领世界教育界！本 ,,紫鹊界罗阿哥带你看世界的微博视频
Mqez23qO6,谁是谁非任评说,False,377994,609437,【张捷说拼娃】曹德旺百亿办大学能否成功#张捷说拼娃# http://t.cn/A69TnKBq ,张捷说拼娃,谁是谁非任评说的微博视频
O77nZmLt0,麒炜投资,True,288069,3139800,曹德旺说:李嘉诚儿子因看空中国，卖掉腾讯股份损失近万亿元，错失全球首富！#曹德旺##李嘉诚内地撤资##腾讯# http://t.cn/A6TqmL75 ,曹德旺/李嘉诚内地撤资/腾讯,麒炜投资的微博视频
OvRo3rxae,厦门日报,True,1205849,4725143,#曹德旺说企业家应该做什么# 【曹德旺：今年再投资100亿以缓解订单压力】在#第24届投洽会# 同期举办的鼓浪屿论坛·世界商业领袖共话全球投资上，“玻璃大王”曹德旺说，“今年大家都在抱怨生意不好做，但我遍布全球13个国家的工厂，每天都在加班，订单多到接不完。今年我再投资100亿，主要用于缓解订单 ,曹德旺说企业家应该做什么/第24届投洽会,厦门日报的微博视频
Nz4FIrxT6,贝壳财经视频,True,519070,1562134,【#曹德旺称培养一名大学生四年补贴20多万#，如果没成才，我输了钱还丢了面子】#曹德旺称福耀科技大学是企业家跟科学家的摇篮# 近期，曹德旺做客新京报@贝壳财经 《思刻》。谈及自己正在筹备的福耀科技大学时表示“我们初步算了一下，培养一个学生一年的费用，要补贴5、6万块钱，4年需要20多万钱，如果 ,曹德旺称培养一名大学生四年补贴20多万/曹德旺称福耀科技大学是企业家跟科学家的摇篮,贝壳财经视频的微博视频
NoAFvp7xg,北青网娱乐,True,1111897,5449277,#曹德旺认为贫穷是压力也是动力#?大佬能成为大佬是有其中原因的，一个是在绝境处能有如此强大的心理素质，一个是赚到钱就捐赠的格局，实属要举双手赞叹?！#星空下的对话#? http://t.cn/A6WbtOqT ,曹德旺认为贫穷是压力也是动力/星空下的对话,北青网娱乐的微博视频
Omua8fK85,穷蹲坑,True,238419,1252114,曹德旺：中国发展赢放慢脚步，让灵魂跟上来 http://t.cn/A6QEosY3 ,,穷蹲坑的微博视频
MDBxk2HJt,凤凰网视频,True,14832339,78001774,【#福耀集团回应宁愿捐款也不涨薪传闻# ：捐款均出自曹德旺个人资产 与集团无关】4月24日下午，福耀集团官方公众号发布声明回应：网络关于“曹德旺炮轰特斯拉恶意涨薪”“宁愿捐款100亿也不涨薪”等均系谣言。1、曹德旺先生未发表过相关言论；2、曹德旺公益事业的捐款均出自个人资产，与福耀集团无关； ,福耀集团回应宁愿捐款也不涨薪传闻/君品谈,君品谈的微博视频
NEOiB4fWV,模型预测,True,357725,1287530,曹德旺：穷人买房就是傻子！太霸气了。众大佬“揭露”房地产黑幕#房地产##房价##房价#趋势 http://t.cn/A6jmreHC ,房地产/房价,模型预测的微博视频
P8mLrrOUe,跨境必读,True,671856,1220410,曹德旺：鬼谷子把人分成三等，我是下等人，讲话直来直去，不会拐弯抹角。 http://t.cn/A6uWr5j0 ,,跨境必读的微博视频
OgQi0FmW0,马上谈,True,477365,23984241,刚刚，恒大地产被罚款41.75亿元，许家印被顶格罚款并终身禁入证券市场！曹德旺此前没的说错。第九届中国企业家发展年会上，曹德旺谈恒大称：“许家印总共39亿自身资本，贷款做到了2万亿，这就是中国式的金融”。早在2017年他就对恒大作出评价，原话是：“经济转型升级，不是你许家印说我今天不做房地产 ,许家印被顶格罚款并终身禁入证券市场,马上谈的微博视频
NDmxHph0x,新浪证券,True,4680051,21092200,【曹德旺现身中国经济新闻人物评选企业家之夜，#福耀玻璃股价30年涨72倍#，分红23次合计金额252亿】1月24日，曹德旺现身中国经济新闻人物评选（2023-2024）企业家之夜。曹德旺出生于1946年，福耀玻璃工业集团股份有限公司董事长，创始人。自1993年上市以来，$福耀玻璃 sh600660$ 股价30年涨72倍，现金 ,福耀玻璃股价30年涨72倍/福耀玻璃分红23次金额252亿,新浪证券的微博视频
Nm7czsq2n,读览,True,197280,941017,曹德旺“我如何看待企业传承”#曹德旺# http://t.cn/A6Ogb1Wj ,曹德旺,军哥欢乐谷的微博视频
NqqP9rH0y,老高电商圈子,True,3007406,16033156,没有钱消费升级从哪来？曹德旺：不要想的太美 http://t.cn/A6WXHaRN ,,老高电商圈子的微博视频
P5hRR9AFu,马志海,True,553091,2373936,一段福耀玻璃美国工厂的短片。  曹德旺曾说 “美国的工会很烦人”。 http://t.cn/A6mroFWR ,,马志海的微博视频
NkO63qCke,执迷不悟_义无反顾,True,338002,4445470,两名工作人员搀扶曹德旺走路，画面让人不禁感叹岁月不饶人！ http://t.cn/A6O8ziAg ,,最终执迷不悟_义无反顾的微博视频
MosC4vf3H,司马南,True,3217474,37482345,【@司马南 ：曹德旺捐100亿办大学，校名校长你知道吗？】#曹德旺捐100亿元建世界一流名校##司马南频道# http://t.cn/A69byeNd ,曹德旺捐100亿元建世界一流名校/司马南频道,司马南的微博视频
NcwEyDlfa,袁国庆,True,1619732,6451505,曹德旺：最好不要借钱给别人，朋友之间也不借 http://t.cn/A60NlZdH ,,袁国庆的微博视频
O4Qp9z3XG,老马自奋蹄,True,1166243,6650777,《十年二十人》吴晓波对话曹德旺。。。（http://t.cn/A67PKe9s） ,,概率财经的微博视频
Nmc4l8LAD,一个话家,True,246111,3289299,曹德旺:我对未来十年的看法#知识##新星v计划# http://t.cn/A6OgeSNK ,知识/新星v计划,一个话家的微博视频
Mnf9VycB6,央视财经,True,37905562,81878772,#对话开年说#【#曹德旺呼吁企业家积极勇敢地面对现实#】2023开年之际 ，中央广播电视总台财经频道《对话》栏目推出开年重磅特别节目《对话·开年说｜启动，2023！》。在节目中，福耀玻璃工业集团股份有限公司创始人、董事长曹德旺说：“活下去是硬道理，死不会死，就难受一点，但是这个就是现实。我呼吁 ,对话开年说/曹德旺呼吁企业家积极勇敢地面对现实,央视财经的微博视频
O6ESBtkxI,搜狐财经,True,888215,1397302,曹德旺亲自邀请，原西安交大校长王树国，担任福耀科技大学校长 http://t.cn/A6T4hiGU ,,搜狐财经的微博视频
OuZcrhqTO,钛媒体影像,True,206800,337105,#曹德旺预测中国未来十年#：起码这些陷进去的行业都应该值得思考 http://t.cn/A6RK0A5H ,曹德旺预测中国未来十年,钛媒体影像的微博视频
Mowdn0CRR,新浪财经,True,24976699,254780044,【#曹德旺捐100亿元建世界一流名校#：要请大师来当校长、教学生】1月14日，在央视播出的《对话》 节目中，福耀集团董事长曹德旺表示：“我现在捐了100亿元建一所大学，我要找名师当校长，请名师教我的学生，把它变成世界一流的名校，这才是我的志向。我们的大学要针对社会需求的转型来培养人才。”  ,曹德旺捐100亿元建世界一流名校,信号财经的微博视频
NoQT9eoUZ,巍岳钦禹,True,7718130,23635210,近日，在曹德旺和张朝阳的访谈节目中，得知曹德旺的科技大学明年招生，他办了一所综合性的大学，有用理工科和经济学。张朝阳在节目中反对教育市场化，教育是事业不是产业，不需要资本。他认为企业家出于慈善的角度捐赠支持教育最有竞争力的，因为成功的企业家不再逐利，出于公心能办最好的大学。相信这 ,张朝阳曹德旺称教育是事业而非产业,巍岳钦禹的微博视频
Mwwi1EjKC,深圳县令,True,1610236,4240819,曹德旺：我认为人生最重要的就是吃，我什么都喜欢吃，肉好吃，肉比鱼好吃，鱼比青菜好吃，什么东西都好吃，好像进了天堂一样的。 http://t.cn/A6C9p4Us ,,深圳县令的微博视频
Npr6PxRL4,大象搬砖,True,1026368,12244486,曹德旺说：经常往来彼岸，发现彼岸的明星不带货。因为明星属于高收入人群，不去抢底层人群的饭碗，让底层人也能有口饭吃。彼岸明星发视频都是日常生活而不是带货，不是影响力不够，而是有个原则：该挣的钱才挣，不该挣的钱，不能沾染。国内则不一样，大小明星、经济学家、企业家全都带货，都把影响力发 ,,讲武殿的微博视频
O6OO65xUB,扎西德勒·天珠文化,True,369549,4472465,#不要去美国投资你们玩不过美国资本#??曹德旺：不要去美国投资，你们玩不过美国资本的。 http://t.cn/A6Tbffo3 ,不要去美国投资你们玩不过美国资本,扎西德勒·天珠文化的微博视频
Moj9bk9IA,央视财经,True,37905562,81878772,【#曹德旺捐款100亿元建大学##曹德旺志向建世界一流名校#】2023，中国经济展开新的一页。 #对话开年说#汇聚中国经济的领军者们。新的一年，他们将如何助力中国经济复苏？福耀集团董事长曹德旺表示：“我现在捐了100亿元建一所大学，我要找名师当校长，请名师教我的学生，把它变成世界一流的名校，这才 ,曹德旺捐款100亿元建大学/曹德旺志向建世界一流名校/对话开年说,央视财经的微博视频
NoIt3vsAO,凤凰网,True,21987155,195427332,【#曹德旺称自己最怕放假#：几十年都没过节假日，这是一种责任心】10月19日，福耀集团创始人曹德旺在《星空下的对话》节目中称自己最怕放假，几十年都没有节假日，但不是想赚钱，而是一种激情、兴趣和责任心，“心有所志，志有所成。” http://t.cn/A6WGbg1s ,曹德旺称自己最怕放假,凤凰网的微博视频
P2A8e0kRg,跨境必读,True,671856,1220410,曹德旺：跟员工争利益，你连怎么死的都不知道。 http://t.cn/A6mtMebv ,,跨境必读的微博视频
OdY4WhDRo,吃菜的悟空,True,124867,2701830,女婿第一次登门，曹德旺强力反对，只因女儿太普通配不上  万万没想到，曹德旺第一次见女儿，男朋友就大发脾气，而他只看了叶舒一眼，就明确表示不同意这门亲事，坚决女儿和他分手。  全家人都以为是曹德旺看不上叶舒，然而曹德旺却对女儿说是他太优秀，你配不上他。原来曹德旺的女儿曹丽萍带回来的男友 ,,吃菜的悟空的微博视频
MDamFxG80,扎西德勒·天珠收藏,True,721400,10702672,[笑cry]曹德旺：#美国人买衬衣一买就几打穿脏一件扔一件#，这样的生活习惯和谁贸易不赤字？ http://t.cn/A6Ni0XQh ,美国人买衬衣一买就几打穿脏一件扔一件,扎西德勒·天珠收藏的微博视频
NE5YVATiw,财经网,True,40609810,319366438,【普通本科，曹德旺发起！#福耀科技大学拟申报设立#】#曹德旺捐资100亿创办福耀科技大学# 1月29日，福建省教育厅官方网站发布《福建省教育厅关于高等学校设置事项的公示》。公示中称，现对拟向教育部申报设立福耀科技大学（暂名）等2个事项予以公示。公示事项涉及两所高校。其中申请建校的福耀科技大学 ,福耀科技大学拟申报设立/曹德旺捐资100亿创办福耀科技大学,NBD视频的微博视频
Ods1i1byC,凤凰网视频,True,14832338,78001774,【#摆摊竟然蕴含这么多经济学理论#】 #林毅夫称赞宗庆后曹德旺等企业家# 著名经济学家林毅夫在一次非洲考察中，意外地被莫桑比克集市外几个摆地摊卖芒果的小姑娘所触动，“这些小姑娘是非常好的企业家”——发现市场机遇、组织资源、提供服务，并在过程中承担风险。林毅夫提到，作为中国企业家宗庆后、 ,摆摊竟然蕴含这么多经济学理论/林毅夫称赞宗庆后曹德旺等企业家/君品谈,凤凰网视频的微博视频
OBng5gRt0,跨境必读,True,671856,1220410,曹德旺简析考公热：问题出在大学教育，没有教会他们真正动手的能力，毕业以后只想考公出国或者送快递，就是不愿进制造业。 http://t.cn/A6Ens4dj ,,跨境必读的微博视频
Oi0OLFxDb,股指期货998,True,1837559,12504069,中国第一个投资百亿办大学的善人[good] #曹德旺称一生能做一件事情就是成功# http://t.cn/A6HdmIIS ,曹德旺称一生能做一件事情就是成功,股指期货998的微博视频
NDAUcANFU,新浪财经,True,24976701,254780044,【#曹德旺一个月内投资90亿#】#曹德旺称现在是年轻人的年代#  不到一个月的时间，曹德旺两次出手，大手笔投资新项目，投资总额达90亿元。1月25日晚，福耀玻璃宣布，拟出资在合肥设立三家全资子公司，总投资57.5亿元，进一步扩大公司的生产和销售规模，满足汽车市场对公司汽车安全玻璃、汽车配件玻璃不 ,曹德旺一个月内投资90亿/曹德旺称现在是年轻人的年代/曹德旺称不退休是不负责任的,新浪财经的微博视频
P6x3M3gEX,麒炜投资,True,288069,3139800,曹德旺说：其实我没有我父亲有本事！！！ http://t.cn/A6uURiP9 ,,麒炜投资的微博视频
OoqKOnJ3z,跨通社,True,112708,1607992,曹德旺：不要把钱借给别人，朋友之间也不要借钱，否则轻则丢钱，重则丢命。 http://t.cn/A68A9B8I ,,跨通社的微博视频
NlZ86wag8,斯图卡98,True,5852181,25131005,创维创始人黄宏生谈许家印和恒大  2021年曹德旺就批过许家印，明明自身只有39亿资本，贷款居然能做到2万亿。真正最大的问题出在哪，给这些房地产奸商诈骗的机会 http://t.cn/A6Od52BH ,,斯图卡98的微博视频
O771sEIkA,麒炜投资,True,288069,3139800,曹德旺一针见血地讲出:闽商和浙商的区别！#曹德旺##福耀##浙商##闽商论坛# http://t.cn/A6TqRREM ,曹德旺/福耀/浙商/闽商论坛,麒炜投资的微博视频
O55Zn84KU,麒炜投资,True,288069,3139800,曹德旺说:读透一本书就可以，读万卷书没有用！#曹德旺##福耀玻璃# http://t.cn/A6YFuSPv ,曹德旺/福耀玻璃,麒炜投资的微博视频
Mwg6T8cYx,倔强的阿中,True,466763,3828494,曹德旺：福耀科技大学建成后，后面自己个人将拿出超过100亿作为助学基金，目的是为国家培养人才！ http://t.cn/A6Co5KIu ,,倔强的阿中的微博视频
MyEPPAQjy,央视财经,True,37905562,81878772,【#曹德旺称要培养能务实走向社会的学生#】近期，曹德旺做客央视财经《对话》。他表示：“（办大学）既解决学校培养老师需要的同时，又要能够满足企业的短板、还要培养学生能够真正地务实地走向社会。” 更多精彩内容请关注CCTV2央视财经频道，3月25日21:30 #对话老友记#。 http://t.cn/A6Cr5YBy ,曹德旺称要培养能务实走向社会的学生/对话老友记,央视财经的微博视频
OufKa9HV9,跨通社,True,112708,1611006,曹德旺：企业家要有政治自信，当初李嘉诚看空中国撤股腾讯导致损失了一千多亿，最后与全球首富失之交臂，就是一个最好的例子。 http://t.cn/A6RMzzm0 ,,跨通社的微博视频
O81yUqHSy,麒炜投资,True,288069,3139800,曹德旺一针见血地说出:人生四不做！  我们需要更多的曹德旺，多来点就更好了！#曹德旺##福耀科技大学# http://t.cn/A6TxIVvm ,曹德旺/福耀科技大学,麒炜投资的微博视频
O7n0m8njw,股指期货998,True,1837559,12504069,宅心仁厚的曹德旺[good] #曹德旺说把资源还给社会也是一种负责# http://t.cn/A6TtRJHd ,曹德旺说把资源还给社会也是一种负责,股指期货998的微博视频
NfhUA00e1,思想品读,True,659868,13943403,曹德旺：消费升级是伪命题，消费者的资金哪里来？从哪发财？没有钱消费升级，不要想得那么美！  . http://t.cn/A60sdLIX ,,思想品读的微博视频
OfE13F3ol,电商行业,True,2904412,8877031,曹德旺：袁隆平才是真正的首善，如果没有他无私地蹲在田埂里研究水稻，要饿死多少人。 http://t.cn/A6Ho3Ao9 ,,电商行业的微博视频
NDXzuvVI4,大川成长价值投资,True,149148,563611,曹德旺：不要想的那么美，民营企业倒闭一大批，那一些管理层白领，都愁眉苦脸，不知道哪里来钱消费升级，中国面临这个困境，国人必须勒紧裤腰带，面对这个现实。 http://t.cn/A6jCz3kk ,,大川成长价值投资的微博视频
MudGl0Nno,孤傲的狂生,True,238977,6009305,曹德旺：大量现金拿去买房，变成财产，可能会被套牢。 http://t.cn/A6CGMRt4 ,,孤傲的狂生的微博视频
OliAbv2pj,顺十而为,True,228411,5634565,曹德旺:我的一些外国工厂里都是老人 花钱都雇不到年轻人 http://t.cn/A6QNWG8l ,,猎无止境的微博视频
NCpSkxRVN,天機微泄,True,1491477,1718804,#曹德旺# 有抱負的企業家不會移民 移民的企業家只是小老闆 http://t.cn/A6jG1sYV ,曹德旺,天機微泄的微博视频
MxIZBqIkB,电商之家,True,479303,2746948,曹德旺：因为饿怕了，我吃饭一粒米都不会掉，吃不完的打包带走！ http://t.cn/A6CE4pdw ,,电商之家的微博视频
MuiIhbhNp,模型预测,True,357725,1287531,曹德旺谈普通人要不要买房子？ http://t.cn/A6CGFYRP ,,模型预测的微博视频
MnkW3aGq1,新浪财经,True,24976701,254780044,【#曹德旺呼吁企业家面对现实不要做阿Q#】福耀玻璃工业集团股份有限公司创始人、董事长曹德旺说：“活下去是硬道理，死不会死，就难受一点，但是这个就是现实。我呼吁企业界的所有人要积极勇敢地面对现实。2023年是真正考验我们的时刻，面临着很现实的问题。我们不要安慰，就是增强自己的信心，看到了 ,曹德旺呼吁企业家面对现实不要做阿Q,信号财经的微博视频
OxTgClpc8,电商行业,True,2904412,8877031,玻璃大王曹德旺智斗犹太人，一句话就砍掉了1300万美元，并成功将购买面积翻倍。 http://t.cn/A6EZYvtP ,,电商行业的微博视频
O4ymX0edP,长安乔木在微博,False,203119,3693231,3月9日，曹德旺在央视《对话》栏目里说，目前企业确实碰到很大麻烦，企业家要直面现实去检讨，希望归希望现实归现实。  这一段话可以看出各个行业面临的问题，不知道说恢复向好的人怎么想。  [黑线][黑线][黑线] http://t.cn/A6Ygp4yz ,,长安乔木在微博的微博视频
Oixfok8ki,钛媒体影像,True,206800,337105,#福耀科技大学24年暂不招生#曹德旺曾称：私立大学不是谁都可以办的 http://t.cn/A6HsBx2g ,福耀科技大学24年暂不招生,钛媒体影像的微博视频
OCLOME1qt,空船侠影,True,191569,2442611,王健林 曹德旺 王健林你说就说咯老指着我干嘛。  http://t.cn/A6nZC4iO ,,空船侠影的微博视频
OloNpqidY,中国日报,True,64938261,171119249,【曹德旺：#中美不会也不该脱钩#】在和平共处五项原则发表70周年纪念大会上，福耀集团董事长曹德旺表示，中美不会脱钩，也不应该脱钩。中美双方应加强沟通、消除误会，充分发挥互补优势。同时他指出企业应谋定以后为，不盲目去美国投资，这既是对美国尊重，也是对自己负责。@起底工作室 #中美关系#  ,中美不会也不该脱钩/中美关系/和平共处五项原则发表70周年纪念大会,中国日报的微博视频
ObDTW9PtH,麒炜投资,True,288070,3139800,创维集团创始人黄宏生说:中国真正的企业家只有五个人！  任正非、曹德旺……另外三人会是谁呢？ http://t.cn/A6TrVmFG ,,麒炜投资的微博视频
MwQhspTrz,倔强的阿中,True,466763,3828494,福耀科技大学举行首座大楼封顶仪式，曹德旺：100亿不够我再回家拿！网友：为民办好事，实事[good] http://t.cn/A6CNDF5O ,,倔强的阿中的微博视频
P6xf8cDqd,跨境必读,True,671856,1220410,曹德旺：小时候我爸爸教育我，把我打得半死，长大以后，我从来不打自己的孩子。 http://t.cn/A6uU1YOk ,,跨境必读的微博视频
ObvFGpUQL,长江云新闻,True,5590312,3059231,#曹德旺一月内投资近百亿元##曹德旺称办大学是自掏腰包已花30多亿#【两个项目“豪掷”近100亿元！办大学是个人掏钱！曹德旺最新发声】据每日经济新闻，4月25日下午，福耀玻璃召开股东大会，董事长曹德旺在交流环节，就一些热门话题回答投资者提问。不到一个月的时间，曹德旺两次出手，大手笔投资新项目 ,曹德旺一月内投资近百亿元/曹德旺称办大学是自掏腰包已花30多亿,长江云新闻的微博视频
Ns2Ub3l42,乐小娱妹,True,156113,2343801,曹德旺：不仅仅是是房地产过剩 ，三产也过剩！ http://t.cn/A6WYhTax ,,百川爱读书的微博视频
Odsr7aKuX,评论员石桥,True,1564994,12382896,#林毅夫称赞宗庆后曹德旺等企业家#支持正能量，曹德旺和宗庆后，他们为祖国和人民所做出的杰出贡献，是大家有目共睹的，国家需要这样的，优秀代表，但愿国家涌现出更多像他们一样的企业家，这才是祖国和人民，所期待的希望！#摆摊竟然蕴含这么多经济学理论# http://t.cn/A6HLOj5v ,林毅夫称赞宗庆后曹德旺等企业家/摆摊竟然蕴含这么多经济学理论,评论员石桥的微博视频
O4GolFDIS,麒炜投资,True,288070,3139800,主持人问曹德旺:福耀玻璃传承给女婿，还是儿子呢？  曹大善人的回答:值得每位企业家借鉴和学习！#曹德旺##福耀玻璃# http://t.cn/A6YeWRAg ,曹德旺/福耀玻璃,麒炜投资的微博视频
OijQKAKa6,李小安0626,True,153262,2715409,家国情怀大道之行 ！支持爱国企业家曹德旺！ http://t.cn/A6Hki4ME ,,李小安0626的微博视频
NoAXt8VrA,梨视频,True,26348936,443159315,【#曹德旺称他最怕放假#：#曹德旺称他几十年都没有节假日#】在10月19日的《星空下的对话》的节目中，曹德旺称为了给中国人做一片玻璃，几十年来没有节假日，就算没有建大学也最怕放假，每年春节的初一到福建片区的工厂慰问工人，给他们拜年，第一个就是我，每年都是这样。 http://t.cn/A6WbckfX ,曹德旺称他最怕放假/曹德旺称他几十年都没有节假日,老板联播的微博视频
O2xzprC4U,随笔视频,True,930804,21055510,当年叱咤风云的曹德旺先生也老了。 http://t.cn/A6Yjc6Nl ,,随笔观澜的微博视频
Oik70fFAD,彩云南现的地方,False,135237,445080,曹德旺不需要懂教育，他懂仁德就足够了！  ——@说情道理～张醒之 http://t.cn/A6HkX9Ed ,,彩云南现的地方的微博视频
O6IVixhZO,紫鹊界罗阿哥带你看世界,True,150644,845673,欢迎600+以上高分学子 特别是家庭一般的孩子 今年重点关注福耀科技大学!曹老捐赠百亿打造的综合型 研究型 复合型高端学府 全部培养高精尖人才 专门解决卡脖子技术人才培养#紫鹊界罗阿哥带你看世界[超话]##紫鹊界罗大哥带你看世界##福耀科技大学#985/211大学#曹德旺#福耀科技大学#大学  ,紫鹊界罗大哥带你看世界/福耀科技大学/曹德旺,紫鹊界罗阿哥带你看世界的微博视频
OxyrdrD9h,全景网,True,2541512,9031732,#曹德旺怒批房地产# 穷人们别再傻了 #曹德旺##大佬语录##商业思维# http://t.cn/A6EPplHF ,曹德旺怒批房地产/曹德旺/大佬语录/商业思维,全景网的微博视频
NcnU6q7Tg,袁国庆,True,1619731,6451505,曹德旺：消费升级是伪命题，消费者的资金哪里来？从哪发财？没有钱消费升级，不要想得那么美 http://t.cn/A60C4eiP ,,袁国庆的微博视频
OhkhlwJ6P,tz-小红帽,True,196397,3243822,#曹德旺# 福耀科技大学2024年不招生。  为了祖国，为了我们的下一代，希望曹总坚持！ http://t.cn/A6HEmmFI ,曹德旺,tz-小红帽的微博视频
P6UQdxuSC,璨然烟云,True,1042635,2229234,曹德旺：财富是一种境界，钱是圆的，它会追着主人跑！#a股##财经观察官# http://t.cn/A6utfP6E ,a股/财经观察官,璨然烟云的微博视频
NFQLqbEVx,匈牙利投资人瞿磊,True,194941,1416897,曹德旺：当你一天能赚到两三万后，你就会发现，通过勤劳根本发不了大财，它只能解决温饱。发大财靠得是脑子和眼光，还有机遇。 http://t.cn/A6OSJmwK  ,,匈牙利投资人瞿磊的微博视频
OweIW0CGJ,新行情,True,796880,2014547,强者从不抱怨环境！曹德旺：都说生意不好做，我的订单是爆满。 http://t.cn/A6REXBuX ,,新行情的微博视频
NcZL8ClZA,笔默君,True,3331592,20141621,儿子曹晖给灾区捐款一个亿，曹德旺：还不够！再捐两亿。  #暴雨洪涝后饮食安全指南# http://t.cn/A60lMkFE ,暴雨洪涝后饮食安全指南,笔默君的微博视频
O44PUcpC8,麒炜投资,True,288070,3139800,曹德旺说:选择移民的都不配是企业家，都是小老板！我们曹家移民，中国将没有玻璃！最终移民的都要向历史负责。  曹大善人大气有爱国情怀，走到全世界我们都为是一名中国人而骄傲和自豪！#曹德旺##福耀玻璃# http://t.cn/A6Y1De7C ,曹德旺/福耀玻璃,麒炜投资的微博视频
O2fAt46iw,司马南,True,3217474,37482345,【@司马南：宗庆后说某人是大忽悠】 刚才看，百度百科词条已经更改了内容。#宗庆后逝世#  印象中，宗庆后说过，他最佩服的人有两个，一个是任正非，一个是曹德旺。 他说某有钱人就是个大忽悠，整天胡说八道。 #你的童年有过娃哈哈吗##宗庆后曾呼吁企业要给员工涨工资# http://t.cn/A6YOubJ3 ,宗庆后逝世/你的童年有过娃哈哈吗/宗庆后曾呼吁企业要给员工涨工资,司马南的微博视频
MoqPDEp2R,金刀王,True,1764876,10481435,#曹德旺捐100亿元建世界一流名校#有些人公司搞得不咋地，员工收入也不高，绷着面子老在外边做慈善，你有捐钱那个本事，先把员工工资搞高一点，这错了，慈善的顺序是首先把企业做好，二关爱员工，第三才是行善。（我没说曹德旺） http://t.cn/A6943WmD ,曹德旺捐100亿元建世界一流名校,金刀王的微博视频
NeFknEcOR,玩糖的,True,258195,2605120,曹德旺：接受现实，冬天会很长，保持坚韧心态，穷没什么大不了的，又不是没穷过[good] http://t.cn/A60dBTrh ,,玩糖的的微博视频
OvLE7dG5C,电影画廊,True,390572,240278,如果能邀请到郑强教授那就更完美了 #曹德旺# #王树国# #福耀科技大学# #科技# http://t.cn/A6RY5oZu ,曹德旺/王树国/福耀科技大学/科技,电影画廊的微博视频
MDwAbEZHm,科技事儿,True,713700,5041080,曹德旺警告公司高管:接班人只能是我儿子 http://t.cn/A6NaA20p ,,科技事儿的微博视频
OrOWx1ED7,莎莎这可怎么办,True,232114,658920,#劝大家真的不要再借钱出去# 后悔没早听到这段话，人间清醒曹德旺谈借钱。 #人生松弛感挑战# http://t.cn/A68Bmimd ,劝大家真的不要再借钱出去/人生松弛感挑战,莎莎这可怎么办的微博视频
